YTLZ700119MSLEZD07|PRD
DMYE630411MCMILD87|PT
ULNW340315MBSZXK77|PAN
AHKZ061116MSPLCT91|PRD
UHIU440202MMNVIC71|PRI
NWKD440402MTCNAJ93|ATWTMVTVFTV
TKAX750210MZSOPC60|EVA01
LHUY940114HGTNWX43|PRI
QARD790201HSPAFI71|MORENA
XZVD051005MSPYEY85|PAN
USMV730721MNTOWS21|EVA01
UGZF770724HYNION40|PRI
BTXO880417HGTGNR97|PT
TEAR990222MTSVKF29|ATWTMVTVFTV
NGYF011026MCSQNN43|ATWTMVTVFTV
UCJC691112HTCDLN09|PRD
PGTO930424HCSTCL39|PRD
ZVZP820211HQTXBQ49|EVA01
INMT860227HMNAPH09|PRI
FBWW840427MMCKSD48|EVA01
IGKC480215HHGQAN02|PAN
LTDE871008MCCPTE26|PAN
BISJ570409HGTUCZ05|PAN
BYYJ940503MSRNYE62|PT
OOBZ701024HCCXGT55|PRD
PCPO060703MMSYTZ59|EVA01
MRPI321128MMNLBI49|ATWTMVTVFTV
NCBT790617HTCJPC05|EVA01
FWFN810726HOCTCN16|MORENA
HSJB921124HCLABY73|MORENA
ARSH970723MJCIRX97|PT
OYNJ431019HSRZKS12|PAN
PQBZ340829MSRTYN70|PRI
XHYY030618HTLBKD19|PAN
DCDV331109MVZYBS88|PRI
ERIQ061128HQRLRL10|PAN
EBLL001004MTCPMX46|PRI
MZXH580207MMCVEA03|PT
NBDK631018HVZIFJ58|MORENA
IAIQ021118HTCRJB24|ATWTMVTVFTV
GNJX880817HJCLBB65|MORENA
HHHP760629HOCBDF38|ATWTMVTVFTV
ZPQK550706HQRWGL32|PRI
MTPA850320MCMOFT05|PAN
ZUXE870109MDGLCY55|ATWTMVTVFTV
IWYR280218MTSHCP24|PT
PBUD530824MVZNXA79|ATWTMVTVFTV
LXHJ980225MSPBBN81|PRI
YBCN661016MDGIMY11|ATWTMVTVFTV
GWWO310102MSLTHQ88|ATWTMVTVFTV
AHLL300504HTLDYE38|EVA01
FPNA310712MGTRMY38|ATWTMVTVFTV
APRK780211HNTIAM31|MORENA
BSCZ430214MMNBCI61|PRI
MWWP550701MMSBMC97|PRD
EEGV320604HQTDFU84|PRI
LWBB540809HSRLHE15|EVA01
LLLT390915MPLQHE90|PRI
ZRDH400407HGRAHP07|PT
GQAJ451221HQRWXE83|ATWTMVTVFTV
UYOZ731112HQREXP81|PAN
AMIX460514MTLDRZ18|EVA01
FNCT770616MMCIUA18|PAN
ZBBI760706MPLWRI60|MORENA
VRRI411107MSLXJL43|PAN
YIWS390726MMSFUH07|ATWTMVTVFTV
EGEJ020910HDGUJF23|ATWTMVTVFTV
ZCMD770729HQRRRG25|EVA01
DIIO300427MMSEFP65|MORENA
PHOK580929HCMAAS47|EVA01
LQDO630402MTLBUP74|MORENA
IPMA880917HZSCUR60|PRD
FXJH330929MQTKAU54|ATWTMVTVFTV
OPYA620711MBCOQD84|EVA01
TXCG900812HHGEAB77|PRD
FZPN760322MQTBUH18|PRI
DSJL440619MSRLEJ82|MORENA
NKIV890428MMCQRK07|MORENA
CIGM260530MMNKOE23|PRD
CMDT371106MZSAMU48|PRD
WHIS460614HCCTFO95|ATWTMVTVFTV
SQCU030307HCSEUG93|PT
QECP770810HYNJDJ75|PAN
IKDY550602HPLDJP61|PRI
MILV480228MCMFNY65|PAN
WSXZ700604MSLZOM37|PAN
NWAQ660417HQTKTN19|EVA01
OGGI900404HMNUED49|PRI
KXEG580929MZSNPC30|PRD
IYIW930507HVZBRC55|PRD
FDFX480907HCHVZQ16|ATWTMVTVFTV
OSNI590630MGTEOR80|PT
AWCU440908MASRQS56|PAN
VXCA481002HOCVWX22|EVA01
TVZC751113MCSZLN72|PRD
FNIT580606HTLVPX83|PRD
ZJJC830511HDGVIN57|MORENA
NRHP891226HPLUVV21|EVA01
VVNP570815MCSNSZ32|EVA01
SDIL321210MSPCCO58|PAN
YUIJ550107HNLJNX41|PAN
SRWJ320229HCSHPA42|MORENA
RMAY750316MVZYXQ68|PRI
NIWV750715HJCIFH11|PRI
RFXK920123MMSMXZ56|ATWTMVTVFTV
DCXH580204HTCYDZ22|MORENA
MAIE041129HBSQAP19|PRD
TQVY420809HTCIYQ21|EVA01
SUYA861113HTSAYN50|PRD
AJCF591115MGRHKC38|ATWTMVTVFTV
YTDV451207HQTWYT09|PRI
DBKB680713MTSIJF24|PRD
PMCT670413HVZSNK92|ATWTMVTVFTV
LRZQ450903MSRQWC17|PAN
YTLJ340228HDFJIM83|PRD
TAFK300304HMCGAS43|EVA01
KSRA261111HJCESP80|PRI
AEUN700722MNTTWJ94|PRD
QXJT880515MMNEPA01|PAN
TZUY510823MCHABQ85|MORENA
DULA850820HMNWDI68|PAN
UEQK410223MCMXJA34|PRI
ANTG511226HCCSIC00|PT
QBBH421018HNLPDR50|PAN
ESTJ290209MQRIEY75|EVA01
KSBQ730922HJCSVR33|PAN
LMKA710307HGTTYQ50|PT
BDKY340626HTSVOG71|PRI
PPCV850102MMCDLG16|MORENA
BLOR661206MCSFJO75|EVA01
UMPW851112HYNVUP53|PRI
IWOH050223MNTCAA15|ATWTMVTVFTV
NETL860215HMNNRI11|ATWTMVTVFTV
PPMA700805MYNNBI49|PAN
ZVKU350104HPLFDL68|ATWTMVTVFTV
OMVN020315HQRCND59|PAN
FPRR851022HMNQOP05|PAN
EKUF800219HNTEZJ97|MORENA
LSJG960131HCLAWK39|PAN
KEXX830509HSRVDL07|PAN
VQCX360915HDFUAF08|EVA01
WWLQ600126MSRBTQ60|EVA01
KFVZ981219HGRCUS64|EVA01
QXPL691206MVZNTJ11|ATWTMVTVFTV
AWIG311201HMNRZA71|PAN
EGJG810802MDFOHP37|ATWTMVTVFTV
BHSR601212MTLXXY64|EVA01
RNTB580613MSRTTC06|PT
SKXD770910MVZFST50|PT
MTHX751023HMCHKJ85|PT
KXSS360511MBSYYV56|EVA01
SIQE620108HCMQJI54|MORENA
ONVC950924MCMUTR86|PT
KLDE590916MGTPFB21|PRD
NGNA960911MBCOKS21|PT
KAHZ760221HTCSVN86|PRD
VCBP400726HTSBSA32|PRD
FSMU340408MQTIFS27|PAN
VOND721018HNTBWY44|PAN
PPXM390222MSLFNW36|MORENA
LYZU681116HMNDQK11|PT
KXSM811227MSLUNH85|PAN
VXOL001215HCLVOO62|EVA01
FZOY720309MOCXRE85|PRI
FOZQ361021MASTFO87|PT
PSRM380804MCHIQV15|ATWTMVTVFTV
RXLP360419HCHSKY56|ATWTMVTVFTV
SZRM400201MOCJXQ45|ATWTMVTVFTV
HJLR830713HSPOKB54|PT
XMKE730621MMSGLK00|PRI
BGFR490225HDGIXZ29|PRI
ZTLX910814HMSRPC34|PAN
HHSL290904HQTHJX92|PRI
LMWU420227MDFNLP73|ATWTMVTVFTV
QLTT070929MCMVPT80|EVA01
AXQR991114HVZZGP24|PRI
UNNB020717HYNACF39|ATWTMVTVFTV
GWPA460223MCMUFW98|PRD
UYWK801126MSRNVQ12|EVA01
SAOR400808MNLHNG44|ATWTMVTVFTV
TJSQ410928HNTJPN85|MORENA
BIWW290408HQTOLK35|PAN
ZECX840109MOCVLJ17|ATWTMVTVFTV
DOCP830630MMNMIR10|EVA01
KTIL251007HSRHUQ26|PAN
WEFW280228MYNYYL86|PAN
ACFJ360419HNLHMP39|EVA01
FEWH950208MCSWQQ33|PAN
XTRI530910HSRXKS82|ATWTMVTVFTV
XIAV940619MSPLLJ39|PAN
LMIW361208HSPLPX12|MORENA
KFMG750206HMSWCT07|PT
HNRY651127MCMGXG85|PAN
XEHE640813HMCVSZ77|PAN
NHCT300628MBSWKJ27|PAN
YHEI800618HMNKGQ66|PT
FHTQ770806HDFLMB08|PRI
BLJY650510MMNTNR45|ATWTMVTVFTV
GSUU271008HGTIZG14|EVA01
AOVS810515HBCATM40|PT
FSLK861013HSPNRJ79|MORENA
ITLI890105MZSUMH17|PRI
ICBG910722MQRKJZ57|ATWTMVTVFTV
IPRA850620MSRFGO36|PT
OUNX630203MBSNKC88|MORENA
UWZP760901MASLCG53|ATWTMVTVFTV
ASTH581012HTCQQP94|PRI
ULRS860131HSLYNG38|EVA01
YZYB511108HGRVLW04|MORENA
